2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\U0001f504 Updated config: api_port = 8001
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\U0001f504 Updated config: api_host = 0.0.0.0
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\U0001f504 Updated config: log_level = INFO
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:prajna.config:\u2705 Prajna configuration validated
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.config - INFO - \U0001f4dd Logging configured: level=INFO, file=None
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.config - INFO - \U0001f527 Prajna configuration loaded from: environment
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f680 Starting Prajna - TORI's Voice and Language Model
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f4cb Configuration: environment
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f527 Model: rwkv on auto
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f310 API: 0.0.0.0:8001
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \u2705 Prajna is ready to serve!
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f517 API endpoint: http://0.0.0.0:8001/api/answer
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f517 Health check: http://0.0.0.0:8001/api/health
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \U0001f517 Documentation: http://0.0.0.0:8001/docs
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,659 - prajna.launcher - INFO - \u26a1 WebSocket streaming: ws://0.0.0.0:8001/api/stream
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:     Started server process [30056]
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] INFO:     Waiting for application startup.
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Entered load_prajna_model() - startup hook triggered
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Current working directory: C:\Users\jason\Desktop\tori\kha\prajna
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Python path includes: ['C:\\Users\\jason\\Desktop\\tori\\kha', 'C:\\Users\\jason\\Desktop\\tori\\kha\\prajna', 'C:\\Users\\jason\\Desktop\\tori\\kha']
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Settings loaded: model_type=saigon, temp=1.0
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Verifying imports...
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [SUCCESS] Successfully imported PrajnaLanguageModel
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Creating Prajna model instance...
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna.mouth - INFO - \U0001f5e3\ufe0f Initializing Prajna Language Model: saigon
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [SUCCESS] Prajna model instance created with type: saigon
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Starting model loading with 2 retries...
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna_atomic - INFO - [DEBUG] Load attempt 1/2...
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,769 - prajna.mouth - INFO - \U0001f9e0 Loading Saigon mesh-to-text generator...
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - saigon - WARNING - Model file not found: ./models/efficientnet/saigon_lstm.pt
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna.mouth - INFO - \u26a0\ufe0f Saigon LSTM not available - using raw mesh mode
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna.mouth - INFO - \u2705 Prajna model loaded: saigon
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna_atomic - INFO - [SUCCESS] Model.load_model() completed successfully
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna_atomic - INFO - [SUCCESS] Model reports as loaded
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna_atomic - INFO - [SUCCESS] Model assigned to app.state.prajna
2025-06-10 18:46:47 | WARNING  | tori.prajna | [STDERR] 2025-06-10 18:46:47,785 - prajna_atomic - INFO - [SUCCESS] Prajna model loaded successfully: saigon
